                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.70333,                0.46114,                 1.0842,                0.99279,                0.98756,                0.98797,                0.83876,                0.92249,                0.47464,                 1.2131,               0.005941,               0.005941,               0.005941
                    126,                0.70759,                0.45973,                 1.0803,                0.99378,                0.98666,                0.98797,                0.83934,                 0.9234,                0.47547,                 1.2147,               0.005908,               0.005908,               0.005908
                    127,                0.70831,                0.46094,                 1.0815,                0.99157,                0.98794,                 0.9881,                0.83874,                0.92546,                 0.4748,                 1.2172,               0.005875,               0.005875,               0.005875
                    128,                0.70783,                0.45994,                 1.0841,                0.99403,                0.98657,                0.98805,                0.83932,                0.92547,                0.47254,                 1.2179,               0.005842,               0.005842,               0.005842
                    129,                0.71888,                0.46018,                 1.0868,                 0.9933,                0.98684,                0.98811,                0.83937,                0.92564,                 0.4737,                 1.2188,               0.005809,               0.005809,               0.005809
                    130,                0.70027,                0.45322,                 1.0795,                0.99286,                0.98741,                0.98812,                0.83921,                0.92472,                0.47244,                 1.2176,               0.005776,               0.005776,               0.005776
                    131,                0.71299,                0.46607,                 1.0884,                0.99332,                0.98721,                0.98818,                0.83903,                0.92558,                0.46994,                 1.2178,               0.005743,               0.005743,               0.005743
                    132,                0.70797,                0.45826,                 1.0819,                0.99324,                0.98737,                0.98815,                0.83996,                0.92331,                0.46575,                 1.2163,                0.00571,                0.00571,                0.00571
                    133,                0.70293,                0.45817,                  1.084,                0.99369,                0.98686,                0.98807,                0.83934,                0.92442,                0.46623,                  1.217,               0.005677,               0.005677,               0.005677
                    134,                0.70921,                0.45301,                 1.0802,                0.99341,                0.98707,                0.98817,                0.83986,                0.92632,                0.46675,                   1.22,               0.005644,               0.005644,               0.005644
                    135,                 0.7045,                0.45735,                 1.0807,                0.99227,                0.98806,                0.98826,                0.83974,                0.92621,                0.46726,                 1.2197,               0.005611,               0.005611,               0.005611
                    136,                 0.7024,                0.45142,                 1.0783,                0.99253,                0.98804,                0.98826,                0.83992,                0.92287,                0.46495,                 1.2175,               0.005578,               0.005578,               0.005578
